,Unnamed: 0,펌프장,위치,유수지용량(㎥),토출량(㎥/분),펌프(합산),GU_NAME,x,y
6,6,빙창,한강로3가40-75,,0,300,용산구,126.962172,37.5276553
10,10,뚝섬,성수1가2동685,180000,3050,8550,성동구,127.043626,37.5489988
18,18,행당,행당1동90-4,,2065,5600,성동구,127.040075,37.5536311
23,23,광장,광장동319,20000,337,860,광진구,127.104687,37.5478079
27,27,휘경1,휘경1동119,,668,2280,동대문구,127.062582,37.5919407
29,29,신이문,이문동57-3,,875,1450,동대문구,127.063223,37.5994455
50,50,합정,"합정동94-2,3",,218,800,마포구,126.912158,37.5449902
53,53,난지,상암동496-86,551000,2935,8010,마포구,126.864461,37.5770559
58,58,오금,신정7동330-4,162000,3650,11900,양천구,126.872374,37.5115265
72,72,신도림,신도림동276-56,59390,1725,5075,구로구,126.88216,37.5100141
73,73,신구로,구로1동683,100800,2585,7420,구로구,126.875379,37.4931223
82,82,박미,"시흥3동981,981-1",,940,1875,금천구,126.902229,37.4380064
85,85,대림2동,대림2동995,,336,750,영등포구,126.900487,37.4896055
88,88,문래,문래2동5가32,,1435,3850,영등포구,126.88327,37.5158177
90,90,영등포,영등포2동2가5-2,,885,2400,영등포구,126.915392,37.518143
95,95,신림5,신림동1446,,410,450,관악구,126.927152,37.4871205
102,102,사평,반포1동119-2,,1800,4500,서초구,127.017793,37.5038202
105,105,수서,수서동167-2,,150,500,강남구,127.100126,37.4869043
112,112,탄천,가락본동509,261000,1992,5800,송파구,127.121637,37.4970026
